Metric,Value
Duration,10.0
Peak Amplitude,1.2253961401331186
RMS Amplitude,0.5291544008471903
Energy,2.814114371215567
Bandwidth,0.39799999999999996
Smoothness,0.0025218069844011592
Fidelity,0.995
